Fecha;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO
5/02/2020 1:00;61;46;0;0;0;3,3;0;0
5/02/2020 2:00;28;21;0;0;0;16,2;0;0
5/02/2020 3:00;42;26;0;0;0;26,2;0;0
5/02/2020 4:00;42;31;0;0;0;7,6;0;0
5/02/2020 5:00;0;52;0;0;0;4,6;0;0
5/02/2020 6:00;76;61;0;0;0;4;0;0
5/02/2020 7:00;0;74;0;0;0;6,5;0;0
5/02/2020 8:00;100;82;0;0;0;5,4;0;0
5/02/2020 9:00;0;80;0;0;0;9,4;0;0
5/02/2020 10:00;128;111;0;0;0;8,6;0;0
5/02/2020 11:00;121;70;0;0;0;7,1;0;0
5/02/2020 12:00;92;39;0;0;0;4,7;0;0
5/02/2020 13:00;68;19;0;0;0;7,1;0;0
5/02/2020 14:00;56;20;0;0;0;9;0;0
5/02/2020 15:00;45;38;0;0;0;6,8;0;0
5/02/2020 16:00;68;43;0;0;0;7,5;0;0
5/02/2020 17:00;63;30;0;0;0;2,8;0;0
5/02/2020 18:00;42;25;0;0;0;7,6;0;0
5/02/2020 19:00;60;35;0;0;0;15,5;0;0
5/02/2020 20:00;67;23;0;0;0;6,4;0;0
5/02/2020 21:00;80;41;0;0;0;4,1;0;0
5/02/2020 22:00;0;49;0;0;0;2,4;0;0
5/02/2020 23:00;46;46;0;0;0;2;0;0
6/02/2020 0:00;53;29;0;0;0;1,5;0;0
6/02/2020 1:00;39;21;0;0;0;1,2;0;0
6/02/2020 2:00;23;23;0;0;0;1,1;0;0
6/02/2020 3:00;23;19;0;0;0;1,6;0;0
6/02/2020 4:00;0;36;0;0;0;3,2;0;0
6/02/2020 5:00;0;67;0;0;0;4,6;0;0
6/02/2020 6:00;90;82;0;0;0;5,8;0;0
6/02/2020 7:00;99;87;0;0;0;4,8;0;0
6/02/2020 8:00;88;59;0;0;0;10,8;0;0
6/02/2020 9:00;0;106;0;0;0;11,2;0;0
6/02/2020 10:00;132;85;0;0;0;5,6;0;0
6/02/2020 11:00;81;30;0;0;0;1,9;0;0
6/02/2020 12:00;65;27;0;0;0;1,6;0;0
6/02/2020 13:00;53;17;0;0;0;3;0;0
6/02/2020 14:00;51;24;0;0;0;1,7;0;0
6/02/2020 15:00;44;28;0;0;0;1,4;0;0
6/02/2020 16:00;58;26;0;0;0;1,3;0;0
6/02/2020 17:00;42;22;0;0;0;1,6;0;0
6/02/2020 18:00;45;24;0;0;0;7,8;0;0
6/02/2020 19:00;40;19;0;0;0;10;0;0
6/02/2020 20:00;48;21;0;0;0;2,9;0;0
6/02/2020 21:00;62;53;0;0;0;5,4;0;0
6/02/2020 22:00;65;37;0;0;0;3,4;0;0
6/02/2020 23:00;52;26;0;0;0;2,1;0;0
7/02/2020 0:00;42;26;0;0;0;1,8;0;0
7/02/2020 1:00;36;21;0;0;0;1,5;0;0
7/02/2020 2:00;25;25;0;0;0;2,1;0;0
7/02/2020 3:00;42;25;0;0;0;1,3;0;0
7/02/2020 4:00;30;30;0;0;0;4;0;0
7/02/2020 5:00;0;64;0;0;0;4,9;0;0
7/02/2020 6:00;74;70;0;0;0;7,6;0;0
7/02/2020 7:00;78;74;0;0;0;10;0;0
7/02/2020 8:00;102;94;0;0;0;20,1;0;0
7/02/2020 9:00;135;95;0;0;0;22,7;0;0
7/02/2020 10:00;129;121;0;0;0;13,1;0;0
7/02/2020 11:00;105;59;0;0;0;6,2;0;0
7/02/2020 12:00;60;48;0;0;0;5,7;0;0
7/02/2020 13:00;69;48;0;0;0;5,8;0;0
