Fecha;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO
10/02/2019 1:00;33;15;30,8;17;47,8;30,8;1,37;0
10/02/2019 2:00;42;16;10,5;14,1;24,7;10,5;0,92;2,8
10/02/2019 3:00;33;12;21,6;16,2;37,7;21,6;1,15;0
10/02/2019 4:00;46;9;11,2;15,2;26,4;11,2;0,94;0
10/02/2019 5:00;35;9;13,8;15,1;28,9;13,8;0,96;0
10/02/2019 6:00;39;16;18,1;13,9;32;18,1;1,01;0
10/02/2019 7:00;41;21;37,7;13,8;51,4;37,7;1,37;0
10/02/2019 8:00;56;16;39,3;16,5;55,7;39,3;1,44;1,3
10/02/2019 9:00;52;21;29,5;17,7;47,2;29,5;1,33;2
10/02/2019 10:00;56;18;15,3;12,5;27,8;15,3;0,97;8,1
10/02/2019 11:00;37;12;6;6,3;12,3;6;0,68;16,5
10/02/2019 12:00;24;9;4,2;3,8;8;4,2;0,58;23
10/02/2019 13:00;17;7;3,7;4,5;8,2;3,7;0,58;26,7
10/02/2019 14:00;16;6;4;9,4;13,4;4;0,75;28,5
10/02/2019 15:00;34;8;4,1;13,9;18;4,1;0,93;36,2
10/02/2019 16:00;54;22;3,5;11,2;14,7;3,5;0,87;32,2
10/02/2019 17:00;46;20;3,1;12;15,1;3,1;0,88;29,3
10/02/2019 18:00;41;17;3,3;15,7;19;3,3;0,99;20,2
10/02/2019 19:00;47;14;4,9;18,3;23,2;4,9;1,1;10,4
10/02/2019 20:00;47;19;8,1;20,8;28,9;8,1;1,25;3
10/02/2019 21:00;42;17;16,9;20,8;37,7;16,9;1,42;0
10/02/2019 22:00;52;20;18,5;21,3;39,8;18,5;1,4;0
10/02/2019 23:00;56;18;3,9;11,1;15;3,9;0,77;3,8
11/02/2019 0:00;22;8;2,9;6,7;9,6;2,9;0,62;9,5
11/02/2019 1:00;23;10;4,3;12;16,3;4,3;0,71;1,6
11/02/2019 2:00;22;13;1,6;10,6;12,2;1,6;0,65;2,8
11/02/2019 3:00;29;8;1,8;10,7;12,6;1,8;0,63;1,5
11/02/2019 4:00;29;15;1,6;10,5;12,1;1,6;0,59;2
11/02/2019 5:00;29;7;6;11,6;17,7;6;0,64;0,6
11/02/2019 6:00;38;13;29,6;13,5;43,1;29,6;1,02;0
11/02/2019 7:00;45;23;57,1;15,4;72,4;57,1;1,62;0
11/02/2019 8:00;80;27;60,3;15,6;75,9;60,3;1,88;1,1
11/02/2019 9:00;78;24;39,9;18,1;58,1;39,9;1,62;4,7
11/02/2019 10:00;74;23;17,2;11;28,2;17,2;1;11,5
11/02/2019 11:00;41;10;16,7;16,1;32,9;16,7;1,35;15,8
11/02/2019 12:00;59;18;7,8;9,7;17,5;7,8;0,75;21,3
11/02/2019 13:00;24;1;5,7;3,7;9,4;5,7;0,54;15,4
11/02/2019 14:00;21;4;4,1;8,2;12,3;4,1;0,7;23,3
11/02/2019 15:00;48;19;9,1;15,5;24,6;9,1;0,99;26,4
11/02/2019 16:00;93;25;9;13,9;22,9;9;0,94;23,4
