Fecha;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO
05-02-2020 01:00;44;15;47,1;30,5;77,6;0;1,07;1,2
05-02-2020 02:00;39;15;43;28,7;71,7;0;0,96;1,1
05-02-2020 03:00;49;22;24,7;27,1;51,8;0;0,77;1,5
05-02-2020 04:00;45;17;11;24,8;35,8;0;0,61;1,5
05-02-2020 05:00;42;20;20,5;23,9;44,4;0;0,62;1
05-02-2020 06:00;25;17;96,5;27,4;124;0;1,1;1,2
05-02-2020 07:00;68;25;181,9;33,3;215,1;0;2,17;1,8
05-02-2020 08:00;109;53;107,4;34,1;141,4;0;1,71;3
05-02-2020 09:00;90;38;81,4;45,4;126,8;0;1,69;7,6
05-02-2020 10:00;87;32;45,9;41,2;87,1;0;1,24;14,1
05-02-2020 11:00;74;25;22,6;26,9;49,4;0;0,84;21,3
05-02-2020 12:00;57;16;13,6;20,2;33,8;0;0,69;26,8
05-02-2020 13:00;32;10;9,2;13,7;22,9;0;0,59;28,7
05-02-2020 14:00;24;6;7,2;6,4;13,6;0;0,44;23,2
05-02-2020 15:00;8;0;8,8;7,2;15,9;0;0;23,3
05-02-2020 16:00;24;0;6;6,6;12,5;0;0,19;23
05-02-2020 17:00;19;2;10,6;11,2;21,8;0;0,28;21,2
05-02-2020 18:00;19;1;11,6;17,9;29,4;0;0,46;17,3
05-02-2020 19:00;32;6;11;32,5;43,5;0;0,86;11,6
05-02-2020 20:00;57;21;8,1;30,6;38,7;0;0,64;10,1
05-02-2020 21:00;47;18;10,2;32,4;42,5;0;0,67;7,5
05-02-2020 22:00;53;16;12,3;23,8;36;0;0,58;11,5
05-02-2020 23:00;33;19;3,1;15;18,1;0;0,42;16,5
05-02-2020 24:00;30;8;4,1;20,5;24,6;0;0,4;11,4
06-02-2020 01:00;21;17;11,4;31,5;43;0;0,46;2,9
06-02-2020 02:00;47;13;9,9;31,8;41,6;0;0,45;1,4
06-02-2020 03:00;31;16;18,6;28,2;46,8;0;0,47;1,6
06-02-2020 04:00;47;18;18,8;27,7;46,5;0;0,4;1,5
06-02-2020 05:00;37;19;13,9;26,2;40,2;0;0,43;1,6
06-02-2020 06:00;32;21;54;29,6;83,5;0;0,73;1,4
06-02-2020 07:00;48;32;99,3;31,2;130,6;0;0,84;1,5
06-02-2020 08:00;66;39;119,9;37,5;157,4;0;1,06;3,1
06-02-2020 09:00;111;52;71;37,4;108,5;0;0,74;7,8
06-02-2020 10:00;96;40;30,9;26,3;57,2;0;0,45;14,9
06-02-2020 11:00;67;15;15;15,3;30,3;0;0,27;20,3
06-02-2020 12:00;38;3;4,9;4,1;9;0;0,16;22,5
06-02-2020 13:00;15;2;4,5;3,6;8,2;0;0,16;22,9
06-02-2020 14:00;15;3;3,8;3,6;7,4;0;0,13;23,5
06-02-2020 15:00;17;2;5,7;4,3;9,9;0;0,15;23,6
06-02-2020 16:00;19;5;5,3;5,1;10,4;0;0,14;24,2
06-02-2020 17:00;22;8;9,7;10,8;20,5;0;0,22;22,3
06-02-2020 18:00;28;7;10,4;14,7;25,1;0;0,3;19,7
06-02-2020 19:00;29;12;8,5;33,5;42;0;0,49;15,2
06-02-2020 20:00;78;32;7,2;35,2;42,4;0;0,48;15,8
06-02-2020 21:00;66;31;5,1;35,8;40,9;0;0,47;14,1
06-02-2020 22:00;61;25;11,6;38,8;50,4;0;0,63;5,6
06-02-2020 23:00;59;31;39,9;38,9;78,8;0;0,94;1
06-02-2020 24:00;63;21;37,3;37;74,2;0;0,78;0,9
07-02-2020 01:00;36;16;24,9;33,6;58,5;0;0,61;1,4
07-02-2020 02:00;40;23;8,2;30,1;38,3;0;0,48;2,2
07-02-2020 03:00;36;17;15,8;28,7;44,5;0;0,47;1,4
07-02-2020 04:00;41;14;12;26,4;38,4;0;0,44;1,8
07-02-2020 05:00;39;14;6,1;25,2;31,4;0;0,42;2,7
07-02-2020 06:00;44;19;45,5;28,5;74;0;0,68;1,3
07-02-2020 07:00;54;29;134,9;34,2;169;0;1,72;2,1
07-02-2020 08:00;100;51;111,4;38,2;149,6;0;1,74;4,2
07-02-2020 09:00;82;44;71,4;44,9;116,3;0;1,53;8
07-02-2020 10:00;102;44;40,5;40;80,4;0;1,11;16,1
07-02-2020 11:00;84;24;13,9;23,6;37,5;0;0,6;27,5
07-02-2020 12:00;58;17;12;29,7;41,7;0;0,68;38,1
07-02-2020 13:00;69;31;7,7;32,3;40,1;0;0,73;51,1
07-02-2020 14:00;72;28;5,1;29;34,1;0;0,7;57,4
07-02-2020 15:00;120;44;5,9;22,1;27,9;0;0,61;45,2
07-02-2020 16:00;109;36;7,1;21,7;28,8;0;0,59;34,2
07-02-2020 17:00;77;34;6,4;21,3;27,7;0;0,62;32,5
07-02-2020 18:00;73;27;6,5;27,5;34;0;0,77;25,6
07-02-2020 19:00;79;35;9,8;32,9;42,7;0;0,91;19,1
07-02-2020 20:00;96;28;8,8;32,2;40,9;0;0,98;17,2
07-02-2020 21:00;67;24;9,6;40,7;50,4;0;0,98;10,9
07-02-2020 22:00;80;28;6;43,9;49,8;0;0,91;7,4
07-02-2020 23:00;70;31;12;45,7;57,7;0;0,98;6,3
07-02-2020 24:00;76;39;9,4;44;53,4;0;0,86;7,5
08-02-2020 01:00;73;40;5,6;33,9;39,4;0;0,65;12,5
08-02-2020 02:00;56;27;3,6;27,7;31,3;0;0,59;14,2
08-02-2020 03:00;68;36;4,3;27,3;31,6;0;0,55;13,4
08-02-2020 04:00;60;32;1,9;22,1;24,1;0;0,45;9,4
08-02-2020 05:00;62;31;5,8;29;34,8;0;0,43;2,8
08-02-2020 06:00;51;26;7,5;30,2;37,7;0;0,52;2,8
08-02-2020 07:00;64;24;21,9;30,7;52,7;0;0,75;2,9
08-02-2020 08:00;77;38;33,6;30,8;64,4;0;0,9;5,8
