Fecha;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO;Vel Viento;Dir Viento;Temperatura;HR;Presion Baro;Rad Solar;Precipitacion;BC ug/m3
1/01/2024 1:00;27;27;2.1;9.1;11.2;0;0.48;5.4;0;89;0;0;0;0;0;
1/01/2024 2:00;39;34;3.2;9.6;12.9;0;0.52;6.3;0;104;0;0;0;0;0;
1/01/2024 3:00;33;20;3.6;7.7;11.3;0;0.48;5.6;0;120;0;0;0;0;0;
1/01/2024 4:00;34;26;3.1;6.2;9.3;0;0.45;3.9;0;124;0;0;0;0;0;
1/01/2024 5:00;30;29;2.2;5.1;7.3;0;0.39;5.7;0;130;0;0;0;0;0;
1/01/2024 6:00;16;16;2.2;3.9;6;0;0.31;10.7;0;82;0;0;0;0;0;
1/01/2024 7:00;14;13;6.4;7.6;14;0;0.46;7.7;0;140;0;0;0;0;0;
1/01/2024 8:00;20;16;9.7;8;17.7;0;0.47;9.6;0;154;0;0;0;0;0;
1/01/2024 9:00;24;23;6.8;7.8;14.6;0;0.46;15;0;118;0;0;0;0;0;
1/01/2024 10:00;30;18;4.8;10.7;15.5;0;0.48;25;0;90;0;0;0;0;0;
1/01/2024 11:00;20;20;2.5;7.3;9.8;0;0.39;28.6;0;121;0;0;0;0;0;
1/01/2024 12:00;17;10;1.7;4.8;6.4;0;0.32;27.8;0;94;0;0;0;0;0;
1/01/2024 13:00;11;11;1.2;2.9;4.1;0;0.31;26.5;0;96;0;0;0;0;0;
1/01/2024 14:00;13;12;1.9;5.3;7.2;0;0.37;37.1;0;327;0;0;0;0;0;
1/01/2024 15:00;27;22;2.2;7.4;9.6;0;0.44;45.4;0;298;0;0;0;0;0;
1/01/2024 16:00;41;32;2.1;10.6;12.7;0;0.54;49.9;0;296;0;0;0;0;0;
1/01/2024 17:00;37;30;3.1;10.6;13.7;0;0.54;36.3;0;302;0;0;0;0;0;
1/01/2024 18:00;38;30;2.4;11.8;14.2;0;0.56;28.7;0;288;0;0;0;0;0;
1/01/2024 19:00;28;25;2;14.7;16.7;0;0.57;23.1;0;300;0;0;0;0;0;
1/01/2024 20:00;34;27;3.5;20.4;23.8;0;0.67;16.3;0;279;0;0;0;0;0;
1/01/2024 21:00;38;23;1.8;18.8;20.5;0;0.65;14.2;0;275;0;0;0;0;0;
1/01/2024 22:00;32;20;2.7;12;14.7;0;0.52;9.7;0;123;0;0;0;0;0;
1/01/2024 23:00;27;20;2.4;10;12.5;0;0.48;8.5;0;153;0;0;0;0;0;
2/01/2024 0:00;24;18;2.4;9;11.4;0;0.47;7.7;0;130;0;0;0;0;0;
2/01/2024 1:00;29;22;1.8;7.1;8.9;0;0.44;6.8;0;123;0;0;0;0;0;
2/01/2024 2:00;46;32;2.2;7.7;9.8;0;0.45;6.3;0;174;0;0;0;0;0;
2/01/2024 3:00;33;20;1.8;7.2;9;0;0.43;4.8;0;142;0;0;0;0;0;
2/01/2024 4:00;34;25;1.4;7.1;8.5;0;0.44;4.6;0;136;0;0;0;0;0;
2/01/2024 5:00;31;22;3.7;7.4;11.2;0;0.46;3.9;0;151;0;0;0;0;0;
2/01/2024 6:00;42;29;15.7;8.4;24.2;0;0.66;3.5;0;137;0;0;0;0;0;
2/01/2024 7:00;37;27;22.3;9.9;32.2;0;0.76;3.9;0;93;0;0;0;0;0;
2/01/2024 8:00;30;30;19.4;11;30.4;0;0.75;9.1;0;107;0;0;0;0;0;
2/01/2024 9:00;47;29;34.1;19.8;53.9;0;1.06;7;0;109;0;0;0;0;0;
2/01/2024 10:00;38;20;17.1;19.9;37;0;0.82;16.2;0;135;0;0;0;0;0;
2/01/2024 11:00;36;20;12;19.1;31;0;0.72;28.3;0;239;0;0;0;0;0;
2/01/2024 12:00;39;24;6.8;20.5;27.3;0;0.73;45.3;0;336;0;0;0;0;0;
2/01/2024 13:00;45;26;4.3;17.5;21.9;0;0.64;55.9;0;298;0;0;0;0;0;
2/01/2024 14:00;52;36;3.2;18.1;21.3;0;0.67;58.8;0;293;0;0;0;0;0;
2/01/2024 15:00;56;32;3.9;21;24.9;0;0.69;58.2;0;307;0;0;0;0;0;
2/01/2024 16:00;48;36;4.1;20.3;24.4;0;0.69;50.4;0;306;0;0;0;0;0;
2/01/2024 17:00;45;30;5.3;20.7;26;0;0.73;35.3;0;301;0;0;0;0;0;
2/01/2024 18:00;43;23;5.2;23.2;28.4;0;0.81;26.8;0;293;0;0;0;0;0;
2/01/2024 19:00;42;28;5.9;31.6;37.6;0;0.9;20.7;0;307;0;0;0;0;0;
2/01/2024 20:00;46;33;4.6;30.8;35.4;0;0.83;20.4;0;320;0;0;0;0;0;
2/01/2024 21:00;48;32;2.9;29.9;32.8;0;0.78;21.3;0;194;0;0;0;0;0;
2/01/2024 22:00;39;27;3.6;21.1;24.7;0;0.72;13.6;0;128;0;0;0;0;0;
2/01/2024 23:00;50;25;6;23.7;29.7;0;0.77;7.3;0;294;0;0;0;0;0;
3/01/2024 0:00;30;20;2.8;24.1;27;0;0.56;8.8;0;239;0;0;0;0;0;
3/01/2024 1:00;24;19;1.9;16.5;18.4;0;0.43;9.4;0;229;0;0;0;0;0;
3/01/2024 2:00;26;18;2.3;16.5;18.8;0;0.45;7.7;0;213;0;0;0;0;0;
3/01/2024 3:00;33;15;2.2;17.9;20.1;0;0.46;7.5;0;290;0;0;0;0;0;
3/01/2024 4:00;28;24;1.7;15.1;16.8;0;0.42;7;0;168;0;0;0;0;0;
3/01/2024 5:00;29;16;4.5;15.9;20.3;0;0.44;3.6;0;125;0;0;0;0;0;
3/01/2024 6:00;30;23;13.2;11.1;24.4;0;0.5;3.6;0;159;0;0;0;0;0;
3/01/2024 7:00;21;17;11.5;10.4;21.9;0;0.54;5.7;0;141;0;0;0;0;0;
3/01/2024 8:00;36;28;28;14.2;42.1;0;0.92;4.3;0;153;0;0;0;0;0;
3/01/2024 9:00;52;30;45.5;24.8;70.3;0;1.19;3.8;0;70;0;0;0;0;0;
3/01/2024 10:00;48;36;32.9;29.4;62.3;0;1.03;10;0;100;0;0;0;0;0;
3/01/2024 11:00;28;17;0;0;0;0;0;0;0;132;0;0;0;0;0;
3/01/2024 12:00;0;0;0;0;0;0;0;0;0;272;0;0;0;0;0;
3/01/2024 13:00;0;0;0;0;0;0;0;0;0;279;0;0;0;0;0;
3/01/2024 14:00;58;30;3.9;19.7;23.6;0;0.56;45.9;0;287;0;0;0;0;0;
3/01/2024 15:00;56;37;3.7;21;24.7;0;0.6;47.4;0;301;0;0;0;0;0;
3/01/2024 16:00;55;31;3.3;22.6;25.9;0;0.58;44.7;0;298;0;0;0;0;0;
3/01/2024 17:00;39;29;4.5;23;27.6;0;0.63;34.5;0;286;0;0;0;0;0;
3/01/2024 18:00;44;21;4.2;20.1;24.3;0;0.64;29;0;277;0;0;0;0;0;
3/01/2024 19:00;38;23;5;25.9;30.9;0;0.79;19;0;278;0;0;0;0;0;
3/01/2024 20:00;28;17;5.8;22.9;28.7;0;0.61;10.7;0;316;0;0;0;0;0;
3/01/2024 21:00;30;17;6.5;19.4;25.9;0;0.55;7.1;0;228;0;0;0;0;0;
3/01/2024 22:00;20;20;6.8;16.3;23.1;0;0.53;4.9;0;130;0;0;0;0;0;
3/01/2024 23:00;17;13;4.2;14.8;19.1;0;0.51;4.8;0;125;0;0;0;0;0;
4/01/2024 0:00;25;16;4;14.8;18.8;0;0.49;4.9;0;118;0;0;0;0;0;
4/01/2024 1:00;27;9;2.5;13.8;16.3;0;0.46;4.5;0;137;0;0;0;0;0;
4/01/2024 2:00;24;17;3.6;18.1;21.7;0;0.54;1.4;0;146;0;0;0;0;0;
4/01/2024 3:00;28;19;4.5;16;20.4;0;0.46;2.9;0;132;0;0;0;0;0;
4/01/2024 4:00;16;12;3.1;9;12.1;0;0.31;5.9;0;115;0;0;0;0;0;
4/01/2024 5:00;19;7;3.4;7.1;10.4;0;0.27;8.3;0;137;0;0;0;0;0;
4/01/2024 6:00;17;13;11.3;10.4;21.7;0;0.4;6.4;0;131;0;0;0;0;0;
4/01/2024 7:00;19;14;32.9;15.3;48.2;0;0.81;3.1;0;134;0;0;0;0;0;
4/01/2024 8:00;41;33;41;15.9;56.9;0;1.17;3.5;0;144;0;0;0;0;0;
4/01/2024 9:00;55;27;54.7;31.5;86.1;0;1.33;6.4;0;97;0;0;0;0;0;
4/01/2024 10:00;51;38;38.4;41.9;80.3;0;1.28;14.7;0;111;0;0;0;0;0;
4/01/2024 11:00;42;25;16.6;29.4;46;0;0.85;27.3;0;5;0;0;0;0;0;
4/01/2024 12:00;32;20;9.9;25;34.9;0;0.71;38.5;0;311;0;0;0;0;0;
4/01/2024 13:00;36;19;5.1;23.1;28.2;0;0.65;46.5;0;343;0;0;0;0;0;
4/01/2024 14:00;64;27;3.9;18.3;22.2;0;0.61;51.2;0;276;0;0;0;0;0;
4/01/2024 15:00;52;27;4;18.5;22.5;0;0.59;45.7;0;288;0;0;0;0;0;
4/01/2024 16:00;41;18;4.7;16.3;21;0;0.58;42.3;0;310;0;0;0;0;0;
4/01/2024 17:00;45;20;4.5;18.9;23.4;0;0.63;42.3;0;284;0;0;0;0;0;
4/01/2024 18:00;47;21;3.9;22.1;26;0;0.74;32.7;0;273;0;0;0;0;0;
4/01/2024 19:00;43;23;5;27.2;32.1;0;0.85;23.4;0;280;0;0;0;0;0;
4/01/2024 20:00;34;21;6;25.9;31.9;0;0.76;16.4;0;298;0;0;0;0;0;
4/01/2024 21:00;46;29;8.3;31.2;39.6;0;0.84;8;0;321;0;0;0;0;0;
4/01/2024 22:00;46;26;8.6;31.1;39.7;0;0.81;5.2;0;331;0;0;0;0;0;
4/01/2024 23:00;40;22;7.4;30.8;38.2;0;0.77;5.3;0;344;0;0;0;0;0;
5/01/2024 0:00;39;25;5;27.1;32.1;0;0.63;6.1;0;318;0;0;0;0;0;
5/01/2024 1:00;38;25;4;26.6;30.6;0;0.58;3.7;0;331;0;0;0;0;0;
5/01/2024 2:00;42;17;6.7;22.2;28.9;0;0.5;5.2;0;318;0;0;0;0;0;
5/01/2024 3:00;24;15;1.9;12.9;14.8;0;0.37;8.5;0;122;0;0;0;0;0;
5/01/2024 4:00;13;11;3.5;10.4;13.9;0;0.33;6.9;0;125;0;0;0;0;0;
